test_sequences,ground_truth
 وقال البرزالي في ترجمته وهو مشهور بفعل القرب وملازمة الجماعات وحسن العقيدة وجودة السيرة سمع من الحافظين أبي محمد, وقال البرزالي في ترجمته وهو مشهور بفعل القرب وملازمة الجماعات وحسن العقيدة وجودة السيرة سمع من الحافظين أبي محمد
 قال قف عنه مسألة ومن سيرة السؤال عن أبي الحسن البسياوي, قال قف عنه مسألة ومن سيرة السؤال عن أبي الحسن البسياوي
 قال السمعاني علوي حسن السيرة مرضي جميل الظاهر والباطن كثير, قال السمعاني علوي حسن السيرة مرضي جميل الظاهر والباطن كثير
 ذكر بانقيا أعشى قيس في شعره وفسرها علماء اللغة ووضعوا كتب الكوفة من السيرة بما ذكرناه وفي القاموس بانقيا, ذكر بانقيا أعشى قيس في شعره وفسرها علماء اللغة ووضعوا كتب الكوفة من السيرة بما ذكرناه وفي القاموس بانقيا
 قال بن سعد يكنى أبا ذؤيب ذكر بن إسحاق في السيرة حدثني أبي عن رجال من, قال بن سعد يكنى أبا ذؤيب ذكر بن إسحاق في السيرة حدثني أبي عن رجال من
 قال أبو سعد السمعاني كان حسن السيرة جميل الطريقة دمث الأخلاق كثير, قال أبو سعد السمعاني كان حسن السيرة جميل الطريقة دمث الأخلاق كثير
 ذكر العماد الكاتب في سيرة السلجوقية الأمير نجم الدين وقرظة, ذكر العماد الكاتب في سيرة السلجوقية الأمير نجم الدين وقرظة
 وقال علي عليه السلام الجود حارس الأعراض واعلم أنه لم تتضمن سيرة من حكايات الجود مثل ما, وقال علي عليه السلام الجود حارس الأعراض واعلم أنه لم تتضمن سيرة من حكايات الجود مثل ما
 قال كان من سيرة علي ألا يقتل مدبرا ولا, قال كان من سيرة علي ألا يقتل مدبرا ولا
 قال ابن الأثير كان حازما عازما عادلا حسن السيرة وكان عزم على إعادة أموال, قال ابن الأثير كان حازما عازما عادلا حسن السيرة وكان عزم على إعادة أموال
 قال ذكر أبو جعفر الباقر عليه السلام سيرة الخلفاء الراشدين فلما بلغ آخرهم, قال ذكر أبو جعفر الباقر عليه السلام سيرة الخلفاء الراشدين فلما بلغ آخرهم
 قال القاضى عبد الله بن عبد الظاهر فى السيرة الظاهرية عن هذه الوقعة حسبها, قال القاضى عبد الله بن عبد الظاهر فى السيرة الظاهرية عن هذه الوقعة حسبها
 وقال في السيرة الشامية ولا عبرة بكراهة الجهال, وقال في السيرة الشامية ولا عبرة بكراهة الجهال
 وقال ابن الجوزى ولدت قبل النبوة بخمس سنين أيام بناء البيت كذا فى سيرة مغلطاى وسن على يومئذ احدى, وقال ابن الجوزى ولدت قبل النبوة بخمس سنين أيام بناء البيت كذا فى سيرة مغلطاى وسن على يومئذ احدى
 قال له ياسيدى لاتخبر امك بهذا وبذلك اوصاء فقال له انا مااجيب لهم سيرة تم احتمه وسار به حتى, قال له ياسيدى لاتخبر امك بهذا وبذلك اوصاء فقال له انا مااجيب لهم سيرة تم احتمه وسار به حتى
 قال بعضهم سمي القطيع من الضأن وقيرا كأن فيه وقارا لكثرته وبطء سيره وق ع قوله تعالى {وإذا, قال بعضهم سمي القطيع من الضأن وقيرا كأن فيه وقارا لكثرته وبطء سيره وق ع قوله تعالى {وإذا
 يقول ونعم علي عهد الله وميثاقه وأشد ما أخذ على أنبيائه أن لا أخالف سيرة رسول الله وأبي بكر وعمر, يقول ونعم علي عهد الله وميثاقه وأشد ما أخذ على أنبيائه أن لا أخالف سيرة رسول الله وأبي بكر وعمر
 وقال له أن أهل العراق يحبونك فأحسن السيرة فيهم فلما قدمها قال لمنصور, وقال له أن أهل العراق يحبونك فأحسن السيرة فيهم فلما قدمها قال لمنصور
 ¬ وقال ابن زيد ويذهبا بالطريقة التي أنتم عليها في السيرة ¬ وهذا القول اختيار أبي عبيدة, ¬ وقال ابن زيد ويذهبا بالطريقة التي أنتم عليها في السيرة ¬ وهذا القول اختيار أبي عبيدة
 قال علي بن برهان الدين الشافعي الحلبي ه‍ في السيرة الحلبية وكان له ص عمامة, قال علي بن برهان الدين الشافعي الحلبي ه‍ في السيرة الحلبية وكان له ص عمامة
 وقال ابن هشام في غزوة أحد من السيرة حدثني بعض أهل العلم عن, وقال ابن هشام في غزوة أحد من السيرة حدثني بعض أهل العلم عن
